"Ville","Région Belgique","Response","Sandwicherie p1","Distance to Tournai","Distance à Tournai","Distance à Tournai Distance","Write to Other Table"
"Mainvault","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Frasnes 132, 7812 Ath,BEL",,,"Created 10 records in table ""Full_Table"""
"Maisières","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 197, 7020 Mons,BEL",,,"Created 10 records in table ""Full_Table"""
"Maissin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de France 13, 6852 Paliseul,BEL",,,"Created 10 records in table ""Full_Table"""
"Maizeret","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Gawday 67, 5300 Andenne,BEL",,,"Created 10 records in table ""Full_Table"""
"Mal","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Maldegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Malderen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Malempré","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Saint-Martin 18, 6960,BEL",,,"Created 10 records in table ""Full_Table"""
"Malèves-Sainte-Marie-Wastines","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. des Moissons 4, 1360 Perwez,BEL",,,"Created 10 records in table ""Full_Table"""
"Malle","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Malmedy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. des Alliés 95, 4960 Malmedy,BEL",,,"Created 10 records in table ""Full_Table"""
"Malonne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Charleroi 801, 5020 Namur,BEL",,,"Created 9 records in table ""Full_Table"""
"Malvoisin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Raymond Gridlet 4A, 5575 Gedinne,BEL",,,"Created 10 records in table ""Full_Table"""
"Manage","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Nivelles 89/Z, 7170 Manage,BEL",,,"Created 10 records in table ""Full_Table"""
"Manderfeld","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Hergersberg 2, 4760 Büllingen,BEL",,,"Created 10 records in table ""Full_Table"""
"Manhay","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Vicinal 19, 6960 Manhay,BEL",,,"Created 10 records in table ""Full_Table"""
"Mannekensvere","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Maransart","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Louvain 431, 1380 Lasne,BEL",,,"Created 10 records in table ""Full_Table"""
"Marbais (Brabant)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chaussée de namur 272 Marbais 1, Sombreffe, 495, 1495 Villers-la-Ville,BEL",,,"Created 10 records in table ""Full_Table"""
"Marbaix (Hainaut)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Bomerée 2, 6534 Thuin,BEL",,,"Created 10 records in table ""Full_Table"""
"Marche-en-Famenne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. aux Foires 22, 6900 Marche-en-Famenne,BEL",,,"Created 10 records in table ""Full_Table"""
"Marche-les-Dames","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Notre Dame du Vivier 153, 5024 Namur,BEL",,,"Created 10 records in table ""Full_Table"""
"Marche-lez-Ecaussinnes","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de la Déportation 61a, 7190 Écaussinnes,BEL",,,"Created 10 records in table ""Full_Table"""
"Marchienne-au-Pont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. du Perron 26, 6030 Charleroi,BEL",,,"Created 10 records in table ""Full_Table"""
"Marchin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de Belle-Maison 17, 4570 Marchin,BEL",,,"Created 10 records in table ""Full_Table"""
"Marchipont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 44, 7380 Quiévrain,BEL",,,"Created 10 records in table ""Full_Table"""
"Marchovelette","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Grand Champ 3, 5380 Fernelmont,BEL",,,"Created 10 records in table ""Full_Table"""
"Marcinelle","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Marcinelle 50, 6000 Charleroi,BEL",,,"Created 10 records in table ""Full_Table"""
"Marcourt","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pont de Marcourt 3, 6987 Rendeux,BEL",,,"Created 10 records in table ""Full_Table"""
"Marcq","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Montgomery 84, 7850 Enghien,BEL",,,"Created 10 records in table ""Full_Table"""
"Marenne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand-Route 104, 6990 Hotton,BEL",,,"Created 8 records in table ""Full_Table"""
"Mariakerke (Gent)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mariekerke (Bornem)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mariembourg","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Marie de Hongrie 31, 5660 Couvin,BEL",,,"Created 10 records in table ""Full_Table"""
"Marilles","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. Albert Drossart 14, 1350,BEL",,,"Created 10 records in table ""Full_Table"""
"Mark","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Marke (Kortrijk)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Markegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Marneffe","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Joseph Wauters 2, 4210,BEL",,,"Created 10 records in table ""Full_Table"""
"Marquain","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Terre A Briques 5/01, 7522 Tournai,BEL",,,"Created 10 records in table ""Full_Table"""
"Martelange","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/13 Rte d'Arlon, 8832 Rombach-Martelange, Luxembourg,BEL",,,"Created 10 records in table ""Full_Table"""
"Martenslinde","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Martouzin-Neuville","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Dinant 4, 5570 Beauraing,BEL",,,"Created 10 records in table ""Full_Table"""
"Masbourg","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Vallée 100, 6953 Nassogne,BEL",,,"Created 10 records in table ""Full_Table"""
"Masnuy-Saint-Jean (Jurbise)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte d'Ath 136, 7050 Jurbise,BEL",,,"Created 10 records in table ""Full_Table"""
"Masnuy-Saint-Pierre","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte d'Ath 136, 7050 Jurbise,BEL",,,"Created 10 records in table ""Full_Table"""
"Massemen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Massenhoven","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Matagne-la-Grande","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Station 37 b, 5680 Doische,BEL",,,"Created 3 records in table ""Full_Table"""
"Matagne-la-Petite","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de l'Auberge 17, 5680 Doische,BEL",,,"Created 8 records in table ""Full_Table"""
"Mater","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Maubray","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand'Route 102, 7640 Antoing,BEL",,,"Created 10 records in table ""Full_Table"""
"Maulde","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/",,,"Created 12 records in table ""Full_Table"""
"Maurage","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Centrale 1, 7110 La Louvière,BEL",,,"Created 10 records in table ""Full_Table"""
"Mazée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Arthur Masson 26, 5670 Viroinval,BEL",,,"Created 8 records in table ""Full_Table"""
"Mazenzele","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mazy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Nivelles 24, 5140 Sombreffe,BEL",,,"Created 10 records in table ""Full_Table"""
"Méan","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de Criel 11C, 5370 Havelange,BEL",,,"Created 10 records in table ""Full_Table"""
"Mechelen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mechelen-aan-de-Maas","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mechelen-Bovelingen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meeffe","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Artisans 7, 5150 Floreffe,BEL",,,"Created 10 records in table ""Full_Table"""
"Meensel-Kiezegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meer","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meerbeek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meerbeke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meerdonk","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meerhout","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meerle","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meeswijk","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meetkerke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meeuwen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meeuwen-Gruitrode","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mehaigne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Louvain 2, 5310 Éghezée,BEL",,,"Created 10 records in table ""Full_Table"""
"Meigem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meilegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meise","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meix-Devant-Virton","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Firmin Lepage 37, 6769 Meix-devant-Virton,BEL",,,"Created 10 records in table ""Full_Table"""
"Meix-le-Tige","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Firmin Lepage 37, 6769 Meix-devant-Virton,BEL",,,"Created 10 records in table ""Full_Table"""
"Melden","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meldert (Brabant)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meldert (Limburg)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meldert (O.-Vl.)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Melen","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de la Résistance 520, 4630 Soumagne,BEL",,,"Created 10 records in table ""Full_Table"""
"MélinMelkwezer","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Melle","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mellery","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chem. de la Bruyère des Censes 7, 1495 Villers-la-Ville,BEL",,,"Created 10 records in table ""Full_Table"""
"Melles","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Frasnes 519, 7540 Tournai,BEL",,,"Created 10 records in table ""Full_Table"""
"Mellet","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Alphonse Helsen 6, 6211 Les Bons Villers,BEL",,,"Created 10 records in table ""Full_Table"""
"Mellier","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Tannerie, 6860 Léglise,BEL",,,"Created 10 records in table ""Full_Table"""
"Melsbroek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Melsele","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Melsen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Membach","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Perkiets, 4837 Baelen,BEL",,,"Created 10 records in table ""Full_Table"""
"Membre","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. Romaine 5, 5550 Vresse-sur-Semois,BEL",,,"Created 10 records in table ""Full_Table"""
"Membruggen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mendonk","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Menen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Merbes-le-Château","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Haute 44, 6567 Merbes-le-Château,BEL",,,"Created 10 records in table ""Full_Table"""
"Merbes-Sainte-Marie","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Haute 44, 6567 Merbes-le-Château,BEL",,,"Created 10 records in table ""Full_Table"""
"Merchtem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Merdorp","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Hesbaye 1b, 4280 Hannut,BEL",,,"Created 10 records in table ""Full_Table"""
"Mere","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Merelbeke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Merendree","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Merkem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Merksem (Antwerpen)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Merksplas","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Merlemont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Saint-Nicolas 1, 5600 Philippeville,BEL",,,"Created 10 records in table ""Full_Table"""
"Mesen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meslin-l'Evêque","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chem. Preuscamp 16, 7822 Meslin-l'Evêque,BEL",,,"Created 10 records in table ""Full_Table"""
"Mesnil-Eglise","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Dinant 4, 5570 Beauraing,BEL",,,"Created 10 records in table ""Full_Table"""
"Mesnil-Saint-Blaise","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Grande 152, 5500 Dinant,BEL",,,"Created 10 records in table ""Full_Table"""
"Mespelare","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Messancy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Ardennes 11, 6780 Messancy,BEL",,,"Created 10 records in table ""Full_Table"""
"Messelbroek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Messines","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mesvin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de Mesvin 17, 7022 Mons,BEL",,,"Created 10 records in table ""Full_Table"""
"Mettekoven","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mettet","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Joseph Meunier 22, 5640 Mettet,BEL",,,"Created 10 records in table ""Full_Table"""
"Meulebeke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Meux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Mehaignoul 6, 5081 La Bruyère,BEL",,,"Created 2 records in table ""Full_Table"""
"Mévergnies-lez-Lens","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Raoul Nachez 1A, 7942 Brugelette,BEL",,,"Created 10 records in table ""Full_Table"""
"Meyerode","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Martinusstraße 98, 4770 Amel,BEL",,,"Created 10 records in table ""Full_Table"""
"Michelbeke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Micheroux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de la Coop. 1, 4630 Soumagne,BEL",,,"Created 10 records in table ""Full_Table"""
"Middelburg","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Middelkerke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Miécret","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. de Criel 11C, 5370 Havelange,BEL",,,"Created 10 records in table ""Full_Table"""
"Mielen-Boven-Aalst","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mignault","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue François Onckelet 47, 7070,BEL",,,"Created 10 records in table ""Full_Table"""
"Millen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Milmort","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue des Alouettes 130, 4041 Herstal,BEL",,,"Created 10 records in table ""Full_Table"""
"Minderhout","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mirwart","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Communale 35, 6870 Saint-Hubert,BEL",,,"Created 10 records in table ""Full_Table"""
"Modave","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Centre 21, 4577 Modave,BEL",,,"Created 10 records in table ""Full_Table"""
"Moelingen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Moen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Moerbeke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Moerbeke-Waas","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Moere","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Moerkerke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Moerzeke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Moeskroen","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Tourcoing 36, 7700 Mouscron,BEL",,,"Created 10 records in table ""Full_Table"""
"Moha","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Wavre 29/1, 4520 Wanze,BEL",,,"Created 10 records in table ""Full_Table"""
"Mohiville","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Monseu 25, 5590 Ciney,BEL",,,"Created 10 records in table ""Full_Table"""
"MoigneléeMoircy","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Tram 37a, 5060 Sambreville,BEL",,,"Created 10 records in table ""Full_Table"""
"Mol","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Molenbaix","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de Molenbaix 53, 7760 Celles,BEL",,,"Created 10 records in table ""Full_Table"""
"Molenbeek-Saint-Jean","bruxelles-capitale","bruxelles-capitale",,"https://fr.distance.to/Tournai,BEL/",,,
"Molenbeek-Wersbeek","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Molenbeersel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Molenstede","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mollem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Momalle","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Jules Mélotte 32, 4350 Remicourt,BEL",,,"Created 10 records in table ""Full_Table"""
"Momignies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de la Gare 3, 6590 Momignies,BEL",,,"Created 10 records in table ""Full_Table"""
"Monceau-en-Ardenne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Saint-Roch 16A, 6850 Paliseul,BEL",,,"Created 10 records in table ""Full_Table"""
"Monceau-Imbrechies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Le Fourneau 4, 6592 Momignies,BEL",,,"Created 10 records in table ""Full_Table"""
"Monceau-sur-Sambre","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. du Perron 26, 6030 Charleroi,BEL",,,"Created 10 records in table ""Full_Table"""
"Mons","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/7000 Mons,BEL",,,"Created 1 records in table ""Full_Table"""
"Mons-lez-Liège","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de l'Alouette 30, 4400 Flémalle,BEL",,,"Created 10 records in table ""Full_Table"""
"Monstreux","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Progrès 6, 1400 Nivelles,BEL",,,"Created 10 records in table ""Full_Table"""
"Mont (Luxembourg)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Liège 2, 6660 Houffalize,BEL",,,"Created 10 records in table ""Full_Table"""
"Mont (Namur)","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Dr Gaston Therasse 1, 5530 Yvoir,BEL",,,"Created 10 records in table ""Full_Table"""
"Montbliart","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/6470,BEL",,,"Created 1 records in table ""Full_Table"""
"Mont-de-l'Enclus","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Enclus du Haut, 7750 Mont-de-l'Enclus,BEL",,,"Created 10 records in table ""Full_Table"""
"Montegnée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. Roosevelt 88, 4420 Saint-Nicolas,BEL",,,"Created 10 records in table ""Full_Table"""
"Montenaken","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mont-Gauthier","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Behogne 85, 5580 Rochefort,BEL",,,"Created 10 records in table ""Full_Table"""
"Montignies-lez-Lens","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Marcel Degauquier 5, 7870 Lens,BEL",,,"Created 10 records in table ""Full_Table"""
"Montignies-Saint-Christophe","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Mons 52, 6560 Erquelinnes,BEL",,,"Created 10 records in table ""Full_Table"""
"Montignies-sur-Roc","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Trieu Quesnoy 13, 7387 Honnelles,BEL",,,"Created 10 records in table ""Full_Table"""
"Montignies-sur-Sambre","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. du Centenaire 56, 6061 Charleroi,BEL",,,"Created 10 records in table ""Full_Table"""
"Montignies-sur-Sambre","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. du Centenaire 56, 6061 Charleroi,BEL",,,"Created 10 records in table ""Full_Table"""
"Montigny-le-Tilleul","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Désiré Quenne 2b, 6110 Montigny-le-Tilleul,BEL",,,"Created 10 records in table ""Full_Table"""
"Montleban","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Cherain 35a, 6673 Gouvy,BEL",,,"Created 10 records in table ""Full_Table"""
"Montroeul-au-Bois","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de la Libération 1, 7911 Frasnes-lez-Anvaing,BEL",,,"Created 10 records in table ""Full_Table"""
"Montroeul-sur-Haine","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. de Montroeul 14a, 7350 Hensies,BEL",,,"Created 10 records in table ""Full_Table"""
"Mont-Saint-André","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. des Moissons 4, 1360 Perwez,BEL",,,"Created 10 records in table ""Full_Table"""
"Mont-Saint-Aubert","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Géo Libbrecht 2, 7542 Tournai,BEL",,,"Created 10 records in table ""Full_Table"""
"Mont-Sainte-Aldegonde","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Georges Warocqué 7, 7140 Morlanwelz,BEL",,,"Created 10 records in table ""Full_Table"""
"Mont-Sainte-Geneviève","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Binche 46, 6540 Lobbes,BEL",,,"Created 10 records in table ""Full_Table"""
"Mont-Saint-Guibert","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Fond Cattelain 2, 1435 Mont-Saint-Guibert,BEL",,,"Created 10 records in table ""Full_Table"""
"Mont-sur-Marchienne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. Paul Pastur 148, 6032 Charleroi,BEL",,,"Created 10 records in table ""Full_Table"""
"Montzen","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/BIRKEN Carrefour, 4850 Plombières,BEL",,,"Created 10 records in table ""Full_Table"""
"Moorsel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Moorsele","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Moorslede","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Moortsele","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Mopertingen","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Moregem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Moresnet","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Village 75, 4850 Plombières,BEL",,,"Created 10 records in table ""Full_Table"""
"Morhet","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Grand Route 2, 6640 Vaux-sur-Sûre,BEL",,,"Created 7 records in table ""Full_Table"""
"Morialmé","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. Verte 6, 5620 Florennes,BEL",,,"Created 10 records in table ""Full_Table"""
"Morkhoven","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/",,,
"Morlanwelz","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Onze Novembre 9, 7140 Morlanwelz,BEL",,,"Created 10 records in table ""Full_Table"""
